DATE,WILL5000INDFC
1990-06-05,9.18
1990-06-06,9.15
1990-06-07,9.11
1990-06-08,9.01
1990-06-11,9.08
1990-06-12,9.18
1990-06-13,9.16
1990-06-14,9.11
1990-06-15,9.11
1990-06-18,8.97
1990-06-19,9.00
1990-06-20,9.01
1990-06-21,9.03
1990-06-22,8.94
1990-06-25,8.87
1990-06-26,8.86
1990-06-27,8.92
1990-06-28,8.98
1990-06-29,9.00
1990-07-02,9.03
1990-07-03,9.04
1990-07-04,.
1990-07-05,8.95
1990-07-06,9.01
1990-07-09,9.03
1990-07-10,8.98
1990-07-11,9.07
1990-07-12,9.17
1990-07-13,9.21
1990-07-16,9.25
1990-07-17,9.21
1990-07-18,9.13
1990-07-19,9.15
1990-07-20,9.07
1990-07-23,8.91
1990-07-24,8.91
1990-07-25,8.94
1990-07-26,8.93
1990-07-27,8.87
1990-07-30,8.89
1990-07-31,8.91
1990-08-01,8.89
1990-08-02,8.79
1990-08-03,8.63
1990-08-06,8.35
1990-08-07,8.37
1990-08-08,8.46
1990-08-09,8.52
1990-08-10,8.42
1990-08-13,8.48
1990-08-14,8.50
1990-08-15,8.52
1990-08-16,8.35
1990-08-17,8.22
1990-08-20,8.22
1990-08-21,8.06
1990-08-22,7.94
1990-08-23,7.68
1990-08-24,7.79
1990-08-27,8.03
1990-08-28,8.04
1990-08-29,8.10
1990-08-30,7.99
1990-08-31,8.07
1990-09-03,.
1990-09-04,8.08
1990-09-05,8.11
1990-09-06,8.03
1990-09-07,8.09
1990-09-10,8.07
1990-09-11,8.05
1990-09-12,8.08
1990-09-13,7.99
1990-09-14,7.95
1990-09-17,7.97
1990-09-18,7.98
1990-09-19,7.93
1990-09-20,7.81
1990-09-21,7.80
1990-09-24,7.63
1990-09-25,7.71
1990-09-26,7.63
1990-09-27,7.52
1990-09-28,7.63
1990-10-01,7.83
1990-10-02,7.86
1990-10-03,7.77
1990-10-04,7.78
1990-10-05,7.75
1990-10-08,7.79
1990-10-09,7.60
1990-10-10,7.48
1990-10-11,7.35
1990-10-12,7.44
1990-10-15,7.51
1990-10-16,7.40
1990-10-17,7.40
1990-10-18,7.57
1990-10-19,7.70
1990-10-22,7.77
1990-10-23,7.73
1990-10-24,7.73
1990-10-25,7.68
1990-10-26,7.56
1990-10-29,7.49
1990-10-30,7.52
1990-10-31,7.53
1990-11-01,7.59
1990-11-02,7.71
1990-11-05,7.78
1990-11-06,7.73
1990-11-07,7.61
1990-11-08,7.64
1990-11-09,7.78
1990-11-12,7.93
1990-11-13,7.91
1990-11-14,7.97
1990-11-15,7.90
1990-11-16,7.90
1990-11-19,7.94
1990-11-20,7.86
1990-11-21,7.87
1990-11-22,.
1990-11-23,7.85
1990-11-26,7.88
1990-11-27,7.93
1990-11-28,7.94
1990-11-29,7.91
1990-11-30,8.04
1990-12-03,8.10
1990-12-04,8.16
1990-12-05,8.25
1990-12-06,8.24
1990-12-07,8.21
1990-12-10,8.23
1990-12-11,8.19
1990-12-12,8.26
1990-12-13,8.26
1990-12-14,8.19
1990-12-17,8.16
1990-12-18,8.26
1990-12-19,8.27
1990-12-20,8.28
1990-12-21,8.30
1990-12-24,8.27
1990-12-25,.
1990-12-26,8.29
1990-12-27,8.24
1990-12-28,8.25
1990-12-31,8.29
1991-01-01,.
1991-01-02,8.21
1991-01-03,8.11
1991-01-04,8.09
1991-01-07,7.96
1991-01-08,7.93
1991-01-09,7.86
1991-01-10,7.94
1991-01-11,7.94
1991-01-14,7.87
1991-01-15,7.89
1991-01-16,7.97
1991-01-17,8.24
1991-01-18,8.32
1991-01-21,8.31
1991-01-22,8.26
1991-01-23,8.31
1991-01-24,8.43
1991-01-25,8.47
1991-01-28,8.48
1991-01-29,8.49
1991-01-30,8.62
1991-01-31,8.70
1991-02-01,8.70
1991-02-04,8.84
1991-02-05,8.94
1991-02-06,9.10
1991-02-07,9.07
1991-02-08,9.13
1991-02-11,9.34
1991-02-12,9.29
1991-02-13,9.37
1991-02-14,9.27
1991-02-15,9.38
1991-02-18,.
1991-02-19,9.39
1991-02-20,9.29
1991-02-21,9.29
1991-02-22,9.31
1991-02-25,9.36
1991-02-26,9.26
1991-02-27,9.37
1991-02-28,9.37
1991-03-01,9.45
1991-03-04,9.46
1991-03-05,9.64
1991-03-06,9.63
1991-03-07,9.64
1991-03-08,9.62
1991-03-11,9.56
1991-03-12,9.48
1991-03-13,9.58
1991-03-14,9.57
1991-03-15,9.55
1991-03-18,9.53
1991-03-19,9.41
1991-03-20,9.44
1991-03-21,9.42
1991-03-22,9.44
1991-03-25,9.50
1991-03-26,9.66
1991-03-27,9.66
1991-03-28,9.66
1991-03-29,.
1991-04-01,9.58
1991-04-02,9.77
1991-04-03,9.78
1991-04-04,9.81
1991-04-05,9.72
1991-04-08,9.78
1991-04-09,9.68
1991-04-10,9.66
1991-04-11,9.77
1991-04-12,9.83
1991-04-15,9.85
1991-04-16,10.00
1991-04-17,10.07
1991-04-18,10.03
1991-04-19,9.92
1991-04-22,9.83
1991-04-23,9.85
1991-04-24,9.88
1991-04-25,9.80
1991-04-26,9.79
1991-04-29,9.66
1991-04-30,9.69
1991-05-01,9.80
1991-05-02,9.82
1991-05-03,9.83
1991-05-06,9.81
1991-05-07,9.76
1991-05-08,9.78
1991-05-09,9.90
1991-05-10,9.74
1991-05-13,9.76
1991-05-14,9.64
1991-05-15,9.54
1991-05-16,9.63
1991-05-17,9.63
1991-05-20,9.63
1991-05-21,9.70
1991-05-22,9.73
1991-05-23,9.71
1991-05-24,9.78
1991-05-27,.
1991-05-28,9.88
1991-05-29,9.91
1991-05-30,10.01
1991-05-31,10.08
1991-06-03,10.06
1991-06-04,10.05
1991-06-05,10.00
1991-06-06,9.96
1991-06-07,9.87
1991-06-10,9.85
1991-06-11,9.89
1991-06-12,9.79
1991-06-13,9.81
1991-06-14,9.92
1991-06-17,9.88
1991-06-18,9.84
1991-06-19,9.75
1991-06-20,9.75
1991-06-21,9.79
1991-06-24,9.62
1991-06-25,9.61
1991-06-26,9.62
1991-06-27,9.69
1991-06-28,9.63
1991-07-01,9.78
1991-07-02,9.77
1991-07-03,9.68
1991-07-04,.
1991-07-05,9.69
1991-07-08,9.78
1991-07-09,9.77
1991-07-10,9.77
1991-07-11,9.80
1991-07-12,9.88
1991-07-15,9.94
1991-07-16,9.92
1991-07-17,9.92
1991-07-18,10.01
1991-07-19,9.99
1991-07-22,9.95
1991-07-23,9.87
1991-07-24,9.84
1991-07-25,9.90
1991-07-26,9.90
1991-07-29,9.95
1991-07-30,10.04
1991-07-31,10.08
1991-08-01,10.07
1991-08-02,10.08
1991-08-05,10.03
1991-08-06,10.15
1991-08-07,10.17
1991-08-08,10.15
1991-08-09,10.11
1991-08-12,10.13
1991-08-13,10.18
1991-08-14,10.20
1991-08-15,10.19
1991-08-16,10.11
1991-08-19,9.87
1991-08-20,9.94
1991-08-21,10.21
1991-08-22,10.24
1991-08-23,10.30
1991-08-26,10.30
1991-08-27,10.29
1991-08-28,10.37
1991-08-29,10.37
1991-08-30,10.36
1991-09-02,.
1991-09-03,10.28
1991-09-04,10.22
1991-09-05,10.20
1991-09-06,10.20
1991-09-09,10.19
1991-09-10,10.08
1991-09-11,10.10
1991-09-12,10.17
1991-09-13,10.08
1991-09-16,10.12
1991-09-17,10.12
1991-09-18,10.15
1991-09-19,10.19
1991-09-20,10.22
1991-09-23,10.17
1991-09-24,10.22
1991-09-25,10.20
1991-09-26,10.20
1991-09-27,10.18
1991-09-30,10.24
1991-10-01,10.27
1991-10-02,10.24
1991-10-03,10.15
1991-10-04,10.09
1991-10-07,10.03
1991-10-08,10.06
1991-10-09,9.97
1991-10-10,10.05
1991-10-11,10.08
1991-10-14,10.20
1991-10-15,10.33
1991-10-16,10.40
1991-10-17,10.37
1991-10-18,10.39
1991-10-21,10.33
1991-10-22,10.29
1991-10-23,10.29
1991-10-24,10.21
1991-10-25,10.18
1991-10-28,10.30
1991-10-29,10.36
1991-10-30,10.42
1991-10-31,10.43
1991-11-01,10.40
1991-11-04,10.37
1991-11-05,10.35
1991-11-06,10.38
1991-11-07,10.47
1991-11-08,10.47
1991-11-11,10.49
1991-11-12,10.58
1991-11-13,10.60
1991-11-14,10.59
1991-11-15,10.22
1991-11-18,10.27
1991-11-19,10.11
1991-11-20,10.10
1991-11-21,10.14
1991-11-22,10.05
1991-11-25,10.02
1991-11-26,10.06
1991-11-27,10.04
1991-11-28,.
1991-11-29,10.03
1991-12-02,10.17
1991-12-03,10.18
1991-12-04,10.16
1991-12-05,10.11
1991-12-06,10.15
1991-12-09,10.13
1991-12-10,10.12
1991-12-11,10.10
1991-12-12,10.19
1991-12-13,10.26
1991-12-16,10.28
1991-12-17,10.23
1991-12-18,10.24
1991-12-19,10.20
1991-12-20,10.30
1991-12-23,10.53
1991-12-24,10.62
1991-12-25,.
1991-12-26,10.77
1991-12-27,10.84
1991-12-30,11.06
1991-12-31,11.13
1992-01-01,.
1992-01-02,11.12
1992-01-03,11.18
1992-01-06,11.18
1992-01-07,11.19
1992-01-08,11.23
1992-01-09,11.26
1992-01-10,11.20
1992-01-13,11.18
1992-01-14,11.33
1992-01-15,11.37
1992-01-16,11.31
1992-01-17,11.32
1992-01-20,11.25
1992-01-21,11.12
1992-01-22,11.27
1992-01-23,11.23
1992-01-24,11.24
1992-01-27,11.22
1992-01-28,11.22
1992-01-29,11.11
1992-01-30,11.16
1992-01-31,11.11
1992-02-03,11.13
1992-02-04,11.24
1992-02-05,11.27
1992-02-06,11.28
1992-02-07,11.22
1992-02-10,11.27
1992-02-11,11.27
1992-02-12,11.38
1992-02-13,11.28
1992-02-14,11.26
1992-02-17,.
1992-02-18,11.13
1992-02-19,11.13
1992-02-20,11.27
1992-02-21,11.21
1992-02-24,11.21
1992-02-25,11.16
1992-02-26,11.30
1992-02-27,11.28
1992-02-28,11.26
1992-03-02,11.27
1992-03-03,11.28
1992-03-04,11.19
1992-03-05,11.10
1992-03-06,11.04
1992-03-09,11.05
1992-03-10,11.11
1992-03-11,11.03
1992-03-12,11.02
1992-03-13,11.07
1992-03-16,11.07
1992-03-17,11.15
1992-03-18,11.15
1992-03-19,11.17
1992-03-20,11.19
1992-03-23,11.16
1992-03-24,11.13
1992-03-25,11.12
1992-03-26,11.10
1992-03-27,10.99
1992-03-30,10.97
1992-03-31,10.98
1992-04-01,10.99
1992-04-02,10.88
1992-04-03,10.88
1992-04-06,10.98
1992-04-07,10.78
1992-04-08,10.67
1992-04-09,10.85
1992-04-10,10.93
1992-04-13,10.98
1992-04-14,11.13
1992-04-15,11.22
1992-04-16,11.19
1992-04-17,.
1992-04-20,11.02
1992-04-21,11.01
1992-04-22,11.01
1992-04-23,11.03
1992-04-24,10.98
1992-04-27,10.96
1992-04-28,10.95
1992-04-29,11.03
1992-04-30,11.13
1992-05-01,11.09
1992-05-04,11.20
1992-05-05,11.22
1992-05-06,11.22
1992-05-07,11.21
1992-05-08,11.21
1992-05-11,11.27
1992-05-12,11.22
1992-05-13,11.21
1992-05-14,11.12
1992-05-15,11.06
1992-05-18,11.12
1992-05-19,11.20
1992-05-20,11.20
1992-05-21,11.13
1992-05-22,11.16
1992-05-25,.
1992-05-26,11.08
1992-05-27,11.10
1992-05-28,11.20
1992-05-29,11.20
1992-06-01,11.25
1992-06-02,11.19
1992-06-03,11.21
1992-06-04,11.17
1992-06-05,11.17
1992-06-08,11.15
1992-06-09,11.06
1992-06-10,10.98
1992-06-11,11.00
1992-06-12,11.03
1992-06-15,11.03
1992-06-16,10.98
1992-06-17,10.81
1992-06-18,10.76
1992-06-19,10.83
1992-06-22,10.81
1992-06-23,10.84
1992-06-24,10.83
1992-06-25,10.81
1992-06-26,10.81
1992-06-29,10.96
1992-06-30,10.97
1992-07-01,11.09
1992-07-02,11.06
1992-07-03,.
1992-07-06,11.11
1992-07-07,10.99
1992-07-08,11.01
1992-07-09,11.12
1992-07-10,11.14
1992-07-13,11.16
1992-07-14,11.23
1992-07-15,11.22
1992-07-16,11.23
1992-07-17,11.17
1992-07-20,11.12
1992-07-21,11.14
1992-07-22,11.06
1992-07-23,11.09
1992-07-24,11.09
1992-07-27,11.09
1992-07-28,11.23
1992-07-29,11.35
1992-07-30,11.40
1992-07-31,11.41
1992-08-03,11.44
1992-08-04,11.43
1992-08-05,11.37
1992-08-06,11.34
1992-08-07,11.31
1992-08-10,11.31
1992-08-11,11.30
1992-08-12,11.26
1992-08-13,11.26
1992-08-14,11.32
1992-08-17,11.34
1992-08-18,11.35
1992-08-19,11.28
1992-08-20,11.28
1992-08-21,11.19
1992-08-24,11.07
1992-08-25,11.08
1992-08-26,11.13
1992-08-27,11.16
1992-08-28,11.18
1992-08-31,11.17
1992-09-01,11.22
1992-09-02,11.28
1992-09-03,11.30
1992-09-04,11.27
1992-09-07,.
1992-09-08,11.21
1992-09-09,11.26
1992-09-10,11.35
1992-09-11,11.35
1992-09-14,11.51
1992-09-15,11.39
1992-09-16,11.38
1992-09-17,11.38
1992-09-18,11.44
1992-09-21,11.42
1992-09-22,11.31
1992-09-23,11.30
1992-09-24,11.34
1992-09-25,11.22
1992-09-28,11.26
1992-09-29,11.27
1992-09-30,11.31
1992-10-01,11.26
1992-10-02,11.12
1992-10-05,11.03
1992-10-06,11.05
1992-10-07,10.99
1992-10-08,11.08
1992-10-09,10.96
1992-10-12,11.06
1992-10-13,11.11
1992-10-14,11.12
1992-10-15,11.13
1992-10-16,11.18
1992-10-19,11.28
1992-10-20,11.30
1992-10-21,11.32
1992-10-22,11.30
1992-10-23,11.29
1992-10-26,11.38
1992-10-27,11.39
1992-10-28,11.45
1992-10-29,11.48
1992-10-30,11.44
1992-11-02,11.54
1992-11-03,11.48
1992-11-04,11.43
1992-11-05,11.48
1992-11-06,11.48
1992-11-09,11.52
1992-11-10,11.54
1992-11-11,11.64
1992-11-12,11.65
1992-11-13,11.65
1992-11-16,11.61
1992-11-17,11.56
1992-11-18,11.65
1992-11-19,11.68
1992-11-20,11.77
1992-11-23,11.73
1992-11-24,11.80
1992-11-25,11.85
1992-11-26,.
1992-11-27,11.88
1992-11-30,11.92
1992-12-01,11.92
1992-12-02,11.89
1992-12-03,11.90
1992-12-04,11.97
1992-12-07,12.04
1992-12-08,12.08
1992-12-09,12.05
1992-12-10,12.01
1992-12-11,11.99
1992-12-14,11.97
1992-12-15,11.95
1992-12-16,11.91
1992-12-17,12.02
1992-12-18,12.15
1992-12-21,12.14
1992-12-22,12.13
1992-12-23,12.12
1992-12-24,12.14
1992-12-25,.
1992-12-28,12.13
1992-12-29,12.13
1992-12-30,12.16
1992-12-31,12.13
1993-01-01,.
1993-01-04,12.10
1993-01-05,12.08
1993-01-06,12.10
1993-01-07,12.00
1993-01-08,11.96
1993-01-11,12.01
1993-01-12,12.01
1993-01-13,12.07
1993-01-14,12.16
1993-01-15,12.21
1993-01-18,12.21
1993-01-19,12.18
1993-01-20,12.15
1993-01-21,12.20
1993-01-22,12.23
1993-01-25,12.32
1993-01-26,12.33
1993-01-27,12.26
1993-01-28,12.26
1993-01-29,12.28
1993-02-01,12.38
1993-02-02,12.40
1993-02-03,12.52
1993-02-04,12.59
1993-02-05,12.55
1993-02-08,12.53
1993-02-09,12.45
1993-02-10,12.47
1993-02-11,12.51
1993-02-12,12.44
1993-02-15,.
1993-02-16,12.10
1993-02-17,12.05
1993-02-18,12.03
1993-02-19,12.09
1993-02-22,12.07
1993-02-23,12.06
1993-02-24,12.24
1993-02-25,12.29
1993-02-26,12.33
1993-03-01,12.31
1993-03-02,12.46
1993-03-03,12.52
1993-03-04,12.47
1993-03-05,12.45
1993-03-08,12.65
1993-03-09,12.66
1993-03-10,12.72
1993-03-11,12.68
1993-03-12,12.59
1993-03-15,12.63
1993-03-16,12.62
1993-03-17,12.54
1993-03-18,12.62
1993-03-19,12.56
1993-03-22,12.51
1993-03-23,12.50
1993-03-24,12.48
1993-03-25,12.56
1993-03-26,12.52
1993-03-29,12.57
1993-03-30,12.62
1993-03-31,12.64
1993-04-01,12.60
1993-04-02,12.35
1993-04-05,12.36
1993-04-06,12.31
1993-04-07,12.35
1993-04-08,12.33
1993-04-09,.
1993-04-12,12.49
1993-04-13,12.53
1993-04-14,12.52
1993-04-15,12.50
1993-04-16,12.51
1993-04-19,12.46
1993-04-20,12.40
1993-04-21,12.38
1993-04-22,12.29
1993-04-23,12.22
1993-04-26,12.09
1993-04-27,12.20
1993-04-28,12.22
1993-04-29,12.25
1993-04-30,12.30
1993-05-03,12.36
1993-05-04,12.44
1993-05-05,12.48
1993-05-06,12.44
1993-05-07,12.42
1993-05-10,12.45
1993-05-11,12.49
1993-05-12,12.49
1993-05-13,12.35
1993-05-14,12.35
1993-05-17,12.37
1993-05-18,12.38
1993-05-19,12.56
1993-05-20,12.65
1993-05-21,12.55
1993-05-24,12.58
1993-05-25,12.62
1993-05-26,12.74
1993-05-27,12.73
1993-05-28,12.68
1993-05-31,.
1993-06-01,12.77
1993-06-02,12.78
1993-06-03,12.75
1993-06-04,12.68
1993-06-07,12.60
1993-06-08,12.50
1993-06-09,12.54
1993-06-10,12.52
1993-06-11,12.57
1993-06-14,12.59
1993-06-15,12.57
1993-06-16,12.59
1993-06-17,12.62
1993-06-18,12.51
1993-06-21,12.55
1993-06-22,12.54
1993-06-23,12.49
1993-06-24,12.58
1993-06-25,12.62
1993-06-28,12.76
1993-06-29,12.73
1993-06-30,12.74
1993-07-01,12.72
1993-07-02,12.66
1993-07-05,.
1993-07-06,12.57
1993-07-07,12.59
1993-07-08,12.72
1993-07-09,12.72
1993-07-12,12.75
1993-07-13,12.74
1993-07-14,12.80
1993-07-15,12.77
1993-07-16,12.68
1993-07-19,12.67
1993-07-20,12.70
1993-07-21,12.69
1993-07-22,12.62
1993-07-23,12.68
1993-07-26,12.75
1993-07-27,12.72
1993-07-28,12.71
1993-07-29,12.78
1993-07-30,12.74
1993-08-02,12.79
1993-08-03,12.78
1993-08-04,12.78
1993-08-05,12.78
1993-08-06,12.79
1993-08-09,12.85
1993-08-10,12.84
1993-08-11,12.85
1993-08-12,12.82
1993-08-13,12.84
1993-08-16,12.91
1993-08-17,12.95
1993-08-18,13.03
1993-08-19,13.03
1993-08-20,13.03
1993-08-23,13.01
1993-08-24,13.13
1993-08-25,13.13
1993-08-26,13.15
1993-08-27,13.14
1993-08-30,13.18
1993-08-31,13.23
1993-09-01,13.24
1993-09-02,13.22
1993-09-03,13.23
1993-09-06,.
1993-09-07,13.13
1993-09-08,13.04
1993-09-09,13.09
1993-09-10,13.21
1993-09-13,13.21
1993-09-14,13.14
1993-09-15,13.19
1993-09-16,13.15
1993-09-17,13.14
1993-09-20,13.07
1993-09-21,12.99
1993-09-22,13.10
1993-09-23,13.17
1993-09-24,13.18
1993-09-27,13.28
1993-09-28,13.29
1993-09-29,13.27
1993-09-30,13.26
1993-10-01,13.30
1993-10-04,13.31
1993-10-05,13.31
1993-10-06,13.30
1993-10-07,13.26
1993-10-08,13.28
1993-10-11,13.31
1993-10-12,13.34
1993-10-13,13.37
1993-10-14,13.49
1993-10-15,13.55
1993-10-18,13.51
1993-10-19,13.41
1993-10-20,13.39
1993-10-21,13.38
1993-10-22,13.35
1993-10-25,13.36
1993-10-26,13.34
1993-10-27,13.37
1993-10-28,13.44
1993-10-29,13.48
1993-11-01,13.51
1993-11-02,13.50
1993-11-03,13.34
1993-11-04,13.16
1993-11-05,13.22
1993-11-08,13.26
1993-11-09,13.28
1993-11-10,13.37
1993-11-11,13.36
1993-11-12,13.42
1993-11-15,13.37
1993-11-16,13.42
1993-11-17,13.35
1993-11-18,13.30
1993-11-19,13.26
1993-11-22,13.12
1993-11-23,13.19
1993-11-24,13.25
1993-11-25,.
1993-11-26,13.28
1993-11-29,13.26
1993-11-30,13.26
1993-12-01,13.30
1993-12-02,13.33
1993-12-03,13.38
1993-12-06,13.42
1993-12-07,13.43
1993-12-08,13.42
1993-12-09,13.36
1993-12-10,13.36
1993-12-13,13.38
1993-12-14,13.30
1993-12-15,13.28
1993-12-16,13.31
1993-12-17,13.39
1993-12-20,13.38
1993-12-21,13.35
1993-12-22,13.39
1993-12-23,13.41
1993-12-24,.
1993-12-27,13.49
1993-12-28,13.52
1993-12-29,13.54
1993-12-30,13.51
1993-12-31,13.50
1994-01-03,13.44
1994-01-04,13.47
1994-01-05,13.50
1994-01-06,13.50
1994-01-07,13.56
1994-01-10,13.68
1994-01-11,13.66
1994-01-12,13.67
1994-01-13,13.65
1994-01-14,13.71
1994-01-17,13.68
1994-01-18,13.70
1994-01-19,13.69
1994-01-20,13.72
1994-01-21,13.71
1994-01-24,13.65
1994-01-25,13.61
1994-01-26,13.67
1994-01-27,13.78
1994-01-28,13.84
1994-01-31,13.92
1994-02-01,13.88
1994-02-02,13.94
1994-02-03,13.92
1994-02-04,13.60
1994-02-07,13.65
1994-02-08,13.65
1994-02-09,13.71
1994-02-10,13.63
1994-02-11,13.63
1994-02-14,13.65
1994-02-15,13.71
1994-02-16,13.73
1994-02-17,13.67
1994-02-18,13.60
1994-02-21,.
1994-02-22,13.69
1994-02-23,13.67
1994-02-24,13.50
1994-02-25,13.55
1994-02-28,13.61
1994-03-01,13.54
1994-03-02,13.53
1994-03-03,13.50
1994-03-04,13.56
1994-03-07,13.64
1994-03-08,13.61
1994-03-09,13.63
1994-03-10,13.55
1994-03-11,13.61
1994-03-14,13.65
1994-03-15,13.65
1994-03-16,13.73
1994-03-17,13.78
1994-03-18,13.79
1994-03-21,13.72
1994-03-22,13.73
1994-03-23,13.73
1994-03-24,13.60
1994-03-25,13.52
1994-03-28,13.45
1994-03-29,13.21
1994-03-30,13.01
1994-03-31,12.99
1994-04-01,.
1994-04-04,12.79
1994-04-05,13.09
1994-04-06,13.10
1994-04-07,13.18
1994-04-08,13.08
1994-04-11,13.12
1994-04-12,13.05
1994-04-13,12.98
1994-04-14,12.98
1994-04-15,12.99
1994-04-18,12.89
1994-04-19,12.85
1994-04-20,12.80
1994-04-21,12.99
1994-04-22,12.99
1994-04-25,13.12
1994-04-26,13.13
1994-04-27,.
1994-04-28,13.06
1994-04-29,13.12
1994-05-02,13.19
1994-05-03,13.20
1994-05-04,13.18
1994-05-05,13.17
1994-05-06,13.05
1994-05-09,12.89
1994-05-10,12.97
1994-05-11,12.83
1994-05-12,12.88
1994-05-13,12.89
1994-05-16,12.87
1994-05-17,12.98
1994-05-18,13.13
1994-05-19,13.21
1994-05-20,13.18
1994-05-23,13.14
1994-05-24,13.19
1994-05-25,13.23
1994-05-26,13.25
1994-05-27,13.26
1994-05-30,.
1994-05-31,13.25
1994-06-01,13.28
1994-06-02,13.30
1994-06-03,13.37
1994-06-06,13.37
1994-06-07,13.34
1994-06-08,13.28
1994-06-09,13.29
1994-06-10,13.32
1994-06-13,13.33
1994-06-14,13.41
1994-06-15,13.37
1994-06-16,13.40
1994-06-17,13.31
1994-06-20,13.19
1994-06-21,13.07
1994-06-22,13.12
1994-06-23,13.00
1994-06-24,12.82
1994-06-27,12.94
1994-06-28,12.91
1994-06-29,12.95
1994-06-30,12.89
1994-07-01,12.95
1994-07-04,.
1994-07-05,12.94
1994-07-06,12.94
1994-07-07,13.01
1994-07-08,13.03
1994-07-11,12.99
1994-07-12,13.01
1994-07-13,13.06
1994-07-14,13.18
1994-07-15,13.20
1994-07-18,13.23
1994-07-19,13.19
1994-07-20,13.12
1994-07-21,13.14
1994-07-22,13.15
1994-07-25,13.18
1994-07-26,13.16
1994-07-27,13.12
1994-07-28,13.16
1994-07-29,13.27
1994-08-01,13.35
1994-08-02,13.37
1994-08-03,13.37
1994-08-04,13.31
1994-08-05,13.27
1994-08-08,13.30
1994-08-09,13.31
1994-08-10,13.38
1994-08-11,13.35
1994-08-12,13.43
1994-08-15,13.43
1994-08-16,13.51
1994-08-17,13.53
1994-08-18,13.49
1994-08-19,13.50
1994-08-22,13.48
1994-08-23,13.55
1994-08-24,13.65
1994-08-25,13.64
1994-08-26,13.79
1994-08-29,13.82
1994-08-30,13.87
1994-08-31,13.86
1994-09-01,13.79
1994-09-02,13.75
1994-09-05,.
1994-09-06,13.75
1994-09-07,13.76
1994-09-08,13.82
1994-09-09,13.70
1994-09-12,13.64
1994-09-13,13.68
1994-09-14,13.72
1994-09-15,13.88
1994-09-16,13.81
1994-09-19,13.79
1994-09-20,13.60
1994-09-21,13.53
1994-09-22,13.51
1994-09-23,13.47
1994-09-26,13.50
1994-09-27,13.53
1994-09-28,13.61
1994-09-29,13.56
1994-09-30,13.59
1994-10-03,13.56
1994-10-04,13.36
1994-10-05,13.31
1994-10-06,13.29
1994-10-07,13.37
1994-10-10,13.47
1994-10-11,13.64
1994-10-12,13.64
1994-10-13,13.69
1994-10-14,13.72
1994-10-17,13.71
1994-10-18,13.69
1994-10-19,13.75
1994-10-20,13.66
1994-10-21,13.61
1994-10-24,13.51
1994-10-25,13.51
1994-10-26,13.55
1994-10-27,13.63
1994-10-28,13.84
1994-10-31,13.81
1994-11-01,13.71
1994-11-02,13.68
1994-11-03,13.71
1994-11-04,13.59
1994-11-07,13.59
1994-11-08,13.66
1994-11-09,13.65
1994-11-10,13.61
1994-11-11,13.56
1994-11-14,13.65
1994-11-15,13.64
1994-11-16,13.64
1994-11-17,13.58
1994-11-18,13.52
1994-11-21,13.43
